time_ms,bme_temp,dht_temp
1033516,29.65,29.90
1035542,29.66,29.90
1037569,29.64,29.90
1039595,29.65,29.90
1041621,29.64,29.90
1043647,29.64,29.90
1045673,29.65,29.90
1047699,29.65,29.90
1049725,29.64,29.90
1051752,29.65,29.90
1053778,29.65,29.90
1055804,29.65,29.90
1057830,29.65,29.90
1059856,29.66,29.90
1061883,29.66,29.90
1063909,29.66,29.90
1065935,29.66,29.90
1067962,29.66,29.90
1069988,29.66,29.90
1072014,29.66,29.90
1074040,29.65,29.90
1076066,29.65,29.90
1078092,29.65,29.90
1080119,29.65,29.90
1082145,29.65,29.90
1084171,29.65,29.90
1086197,29.65,29.90
1088223,29.64,29.90
1090249,29.65,29.90
1092275,29.65,29.90
1094302,29.65,29.90
1096328,29.66,29.90
1098354,29.65,29.90
1100380,29.65,29.90
1102406,29.65,29.90
1104432,29.65,29.90
1106458,29.65,29.90
1108485,29.66,29.90
1110511,29.66,29.90
1112537,29.65,29.90
1114563,29.65,29.90
1116589,29.65,29.90
1118615,29.64,29.90
1120641,29.64,29.90
1122668,29.63,29.90
1124694,29.64,29.90
1126720,29.64,29.90
1128746,29.65,29.90
1130772,29.63,29.90
1132798,29.64,29.90
1134825,29.64,29.90
1136851,29.64,29.90
1138878,29.64,29.90
1140904,29.63,29.90
1142930,29.63,29.90
1144956,29.63,29.90
1146982,29.63,29.90
1149009,29.64,29.90
1151035,29.63,29.90
1153061,29.64,29.90
1155087,29.64,29.90
1157113,29.64,29.90
1159139,29.64,29.90
1161165,29.64,29.90
1163192,29.64,29.90
1165218,29.64,29.90
1167244,29.64,29.90
1169270,29.64,29.90
1171296,29.64,29.90
1173322,29.64,29.90
1175348,29.64,29.90
1177375,29.64,29.90
1179401,29.64,29.90
1181427,29.64,29.90
1183453,29.64,29.90
1185479,29.63,29.90
1187505,29.63,29.90
1189531,29.64,29.90
1191558,29.63,29.90
1193584,29.64,29.90
1195610,29.64,29.90
1197636,29.64,29.90
1199662,29.64,29.90
1201688,29.64,29.90
1203714,29.65,29.90
1205741,29.65,29.90
1207767,29.65,29.90
1209793,29.64,29.90
1211819,29.65,29.90
1213845,29.65,29.90
